years_experience,company_size,role_score,activity_score,responded
6,17,8,5,0
4,26,8,3,0
3,11,5,1,0
0,45,3,7,1
8,18,7,5,1
4,2,5,2,1
1,17,8,3,1
6,24,4,6,0
4,66,4,8,1
12,32,5,8,1
6,3,9,1,0
4,37,3,1,0
5,36,7,9,0
8,6,3,8,0
0,58,3,1,0
7,17,3,7,0
10,35,5,7,1
11,23,3,6,1
0,49,5,6,0
4,14,7,9,1
4,13,9,4,0
1,5,1,3,0
3,12,8,9,1
4,45,3,1,0
4,28,7,5,1
0,1,6,7,1
2,43,6,8,0
4,33,9,6,0
3,47,4,3,0
6,30,8,1,1
2,39,3,7,1
6,4,5,5,1
3,8,3,3,1
8,38,3,9,0
10,32,9,4,0
7,43,7,3,1
2,23,3,6,1
2,48,2,5,0
4,304,5,3,0
6,19,5,6,0
6,18,3,1,0
3,17,2,9,0
1,80,2,1,0
10,4,8,7,1
6,62,3,7,0
3,6,6,6,0
0,30,8,5,1
4,106,8,4,0
4,12,3,7,0
3,119,1,1,0
4,16,9,8,1
6,9,7,3,0
8,9,9,5,0
3,40,4,1,0
3,23,6,5,0
6,20,8,5,0
6,23,2,1,1
7,42,1,1,1
6,62,1,1,0
6,11,3,2,1
4,12,2,3,1
3,49,4,9,1
2,11,9,8,0
1,34,5,1,1
2,44,1,1,0
5,15,9,3,0
5,17,4,3,0
4,61,5,4,1
3,25,5,7,1
10,21,6,7,0
3,5,2,5,0
5,26,4,4,0
0,96,3,7,0
3,98,8,9,0
1,43,9,1,0
2,3,6,5,1
5,9,4,9,0
6,172,6,3,1
11,8,8,4,1
3,2,4,3,1
1,125,8,2,0
5,18,1,5,1
8,13,1,1,0
2,20,5,5,1
3,37,9,1,0
6,58,8,7,0
9,22,2,1,1
10,7,7,5,1
2,39,6,2,0
0,48,4,9,0
3,76,7,3,0
6,31,4,8,0
0,67,3,9,0
1,8,4,8,0
5,58,2,3,0
3,18,2,1,0
4,20,9,9,1
10,24,8,6,1
5,99,2,8,1
2,14,3,9,1
5,5,1,7,0
2,14,3,9,0
5,8,2,8,1
10,40,2,8,0
6,16,5,6,0
1,44,6,6,0
6,7,9,2,1
9,10,6,4,0
0,21,1,6,0
5,10,2,8,0
8,11,1,5,0
3,11,5,8,0
3,5,1,8,1
6,33,5,5,0
7,25,9,9,0
10,25,1,7,1
0,54,7,2,0
5,4,4,1,0
5,25,6,9,1
2,21,5,1,0
0,39,8,4,0
3,42,2,3,1
0,26,5,4,0
9,24,9,1,1
10,36,8,5,0
6,5,8,9,0
2,17,5,4,1
8,11,9,4,1
2,25,4,9,1
0,12,3,6,0
0,19,8,1,1
0,15,8,1,0
2,4,3,8,0
5,19,8,3,0
4,90,2,6,0
1,14,7,7,1
6,14,2,1,0
8,9,8,6,1
7,23,8,2,0
6,3,2,7,1
7,32,3,4,1
7,4,2,3,1
7,4,6,9,1
3,11,8,7,0
3,18,9,8,1
9,7,2,7,0
5,74,4,9,1
0,12,6,5,0
7,8,2,9,0
4,81,2,6,1
5,9,5,8,1
4,34,7,8,1
2,40,4,4,1
4,12,9,9,1
9,9,8,9,0
3,6,2,3,0
6,55,1,8,1
8,46,8,9,0
9,56,9,7,0
4,8,8,2,0
6,44,4,7,0
0,5,2,3,1
8,8,7,8,1
5,47,2,7,0
3,6,3,7,1
3,8,7,4,1
3,15,8,2,0
2,2,8,4,0
4,8,8,8,1
3,23,5,3,0
3,11,9,1,0
8,245,1,3,1
2,32,3,6,0
7,2,9,3,1
5,28,8,9,1
5,5,5,2,0
7,6,5,1,1
5,34,1,6,1
3,34,9,9,0
6,19,7,5,1
6,13,7,2,1
0,5,8,3,0
8,15,5,6,0
6,58,6,1,0
8,4,2,2,1
2,10,1,6,0
3,41,7,2,0
0,38,4,2,1
3,14,3,1,1
5,3,6,2,0
5,15,2,8,0
3,17,2,4,0
3,51,8,3,0
0,103,4,4,0
3,12,6,6,0
0,142,2,6,0
7,30,6,9,0
3,20,6,4,0
5,9,9,1,0
8,50,7,1,1
10,80,9,2,1
6,166,4,6,1
11,10,9,2,1
3,19,2,6,1
5,22,3,3,0
0,14,5,8,0
1,4,4,8,1
13,18,4,2,1
6,62,3,3,0
0,69,1,3,1
9,4,2,7,0
4,16,8,7,0
1,27,9,9,1
4,111,4,7,0
5,5,9,1,0
1,9,9,5,0
9,23,8,8,1
5,14,2,9,1
4,7,5,5,1
2,12,2,9,1
4,59,2,7,0
6,60,7,8,1
5,10,6,5,0
4,24,1,8,1
5,42,5,5,0
7,4,1,9,0
3,24,9,4,0
7,49,9,7,1
4,22,6,7,1
0,7,1,1,0
5,15,8,2,1
2,1,5,9,1
9,3,4,7,1
7,15,3,4,1
2,15,4,5,1
1,2,4,2,0
1,21,7,7,0
3,17,6,7,1
6,2,7,6,0
5,33,9,8,0
0,29,4,2,1
6,36,1,7,1
6,9,2,1,0
4,68,9,9,1
2,103,6,7,1
3,39,4,8,1
0,97,1,6,0
4,25,6,8,1
0,29,3,6,1
10,9,4,5,0
2,37,9,7,1
8,11,8,6,1
5,43,9,5,1
3,27,6,4,1
2,5,5,2,0
7,6,4,2,0
4,46,6,5,0
0,179,8,6,0
6,11,5,3,0
2,21,9,2,0
12,14,6,4,0
5,10,2,4,0
5,34,4,2,0
3,21,7,3,0
1,26,9,2,1
4,11,9,3,0
2,47,7,1,1
5,4,4,4,0
1,16,4,3,1
0,48,7,2,0
9,13,5,7,0
1,19,3,1,0
8,17,7,5,0
4,16,9,4,0
6,17,1,9,1
2,27,8,5,1
0,18,6,8,0
4,19,8,8,1
3,24,8,3,0
8,66,7,3,0
8,41,6,1,1
2,5,1,4,1
6,68,7,2,0
3,19,2,1,1
3,5,9,2,1
4,5,7,7,1
4,26,5,8,0
9,17,6,9,1
6,10,2,3,0
2,44,3,6,1
7,29,9,5,1
1,45,1,4,0
8,13,9,5,1
9,66,4,4,0
2,38,2,5,0
1,41,5,4,0
8,37,6,3,0
2,13,4,1,0
11,14,8,5,0
11,102,2,3,0
4,74,3,6,1
7,34,3,4,0
2,43,4,1,1
6,24,1,6,1
3,26,6,7,0
9,4,1,6,0
0,23,5,3,1
0,13,1,5,0
1,19,4,7,1
2,14,8,6,0
6,16,8,6,1
4,23,4,2,1
5,6,1,7,1
4,6,7,5,0
0,11,9,5,1
6,32,9,9,1
3,102,9,7,1
10,12,9,7,0
2,21,6,2,1
4,31,2,3,1
2,21,8,6,0
9,10,7,5,0
8,9,6,8,0
2,97,1,2,0
7,18,1,4,0
8,8,5,3,0
8,9,5,5,0
0,21,4,6,1
7,13,3,2,1
1,18,5,4,1
6,11,7,1,1
4,6,6,7,0
3,26,4,9,0
6,32,6,3,1
1,59,8,2,0
5,12,1,5,0
5,30,2,9,0
0,30,3,1,0
1,65,8,8,0
6,48,4,9,0
3,16,9,5,0
3,39,2,3,1
7,134,2,8,0
3,15,4,1,0
5,24,7,6,1
7,42,4,7,1
11,51,9,3,0
10,3,5,3,0
6,92,4,8,0
7,69,3,2,0
1,44,5,3,0
4,6,3,4,0
9,74,4,9,0
7,15,3,6,0
4,3,9,1,1
