years_experience,company_size,role_score,activity_score,responded
6,17,8,5,1
4,26,8,3,1
3,11,5,1,0
0,45,10,3,1
4,28,5,3,1
10,22,10,9,1
2,9,7,8,1
1,323,6,2,1
7,23,8,7,0
5,26,8,10,0
0,41,1,9,0
7,8,7,9,1
3,16,7,8,1
10,2,3,1,0
2,8,9,10,1
4,49,7,7,1
2,42,7,3,0
8,11,10,7,0
2,14,9,9,1
5,1,5,1,0
6,17,6,8,0
9,2,1,8,1
5,235,6,7,1
4,19,6,7,0
2,43,6,8,1
4,33,9,6,0
3,47,4,3,1
6,30,8,1,0
2,39,10,3,0
3,3,1,5,0
0,66,3,3,1
5,37,1,8,0
7,120,9,3,1
0,19,4,8,0
6,51,1,3,0
7,19,8,2,1
9,64,1,5,1
0,19,5,6,1
6,18,3,1,0
3,17,2,9,1
1,80,10,2,1
3,31,10,7,1
6,4,10,7,0
5,52,3,7,1
0,148,6,3,1
0,13,4,10,0
2,14,1,8,0
7,218,7,8,0
5,31,3,1,1
0,9,7,9,0
0,14,6,9,0
7,29,6,7,1
1,25,6,9,1
4,40,4,1,0
3,23,6,5,1
6,20,8,5,0
6,23,2,1,1
7,42,1,1,0
6,62,1,1,0
6,11,3,2,1
4,12,10,10,0
3,49,4,9,0
2,11,9,8,0
1,34,5,1,1
2,44,1,1,0
5,15,9,3,1
5,17,4,3,1
4,61,5,4,0
3,25,5,10,0
6,48,1,6,1
3,24,2,10,1
1,58,6,4,1
5,45,4,6,1
10,7,3,7,1
3,4,10,4,1
7,18,1,9,0
5,20,5,4,1
5,85,1,5,0
9,9,10,8,1
4,31,8,10,1
2,5,4,6,1
0,17,5,9,1
8,12,1,5,0
9,10,9,3,1
6,135,5,6,0
7,10,5,9,1
5,33,1,1,1
4,51,5,9,1
0,10,5,5,0
6,24,2,2,0
2,22,2,4,1
10,25,1,5,0
8,17,1,4,1
4,61,3,9,1
0,90,8,4,0
1,156,2,10,1
3,57,10,6,1
4,143,9,10,0
2,24,1,10,1
5,19,7,8,0
6,9,7,2,1
0,9,10,7,1
3,6,9,1,1
0,14,4,6,0
3,97,3,10,0
0,2,6,5,0
4,2,8,7,1
5,19,6,3,0
5,119,10,3,0
6,8,4,1,0
7,43,6,5,1
5,3,8,10,1
0,25,8,2,0
3,11,5,8,0
3,5,1,8,0
6,33,5,5,1
7,25,9,10,1
3,10,6,1,1
0,20,1,7,1
5,2,3,7,0
2,33,1,4,0
9,45,7,1,1
9,30,10,1,1
2,191,8,5,1
9,12,3,3,0
6,6,7,10,0
5,6,2,9,1
2,67,10,9,1
5,22,6,7,1
3,30,1,6,1
0,92,9,5,1
3,7,9,10,0
1,5,2,1,1
5,32,4,6,1
8,9,6,10,1
1,20,1,7,1
3,62,1,8,0
7,228,1,2,1
3,25,8,7,1
6,6,7,7,1
7,71,1,9,0
2,11,1,8,1
7,7,8,4,1
2,78,5,3,1
5,47,2,2,1
7,12,7,4,0
8,2,2,5,0
4,53,1,2,0
5,3,9,7,1
1,60,6,2,1
4,78,2,1,1
0,8,8,2,0
1,33,1,10,1
